H37Rv	L4	natural	01_R1134	L4	natural	4411532	4388311	4406184	4391395
H37Rv	L4	natural	01_R1430	L4	natural	4411532	4388800	4409225	4393782
H37Rv	L4	natural	02_R0894	L4	natural	4411532	4385928	4422503	4398615
H37Rv	L4	natural	02_R1179	L4	natural	4411532	4381269	4393775	4379904
H37Rv	L4	natural	02_R1708	L4	natural	4411532	4390363	4427007	4403119
H37Rv	L4	natural	02_R1896	L4	natural	4411532	4388385	4407304	4393833
H37Rv	L4	natural	I0004290_8	L4	natural	4411532	4387648	4420979	4401375
H37Rv	L4	natural	M0010874_7	L4	natural	4411532	4373586	4396361	4376090
H37Rv	L4	natural	M0011368_9	L4	natural	4411532	4383405	4397821	4383174
H37Rv	L4	natural	M0014888_3	L4	natural	4411532	4377858	4400005	4379350
H37Rv	L4	natural	M0016737_0	L4	natural	4411532	4399735	4431508	4410124
H37Rv	L4	natural	M0017522_5	L4	natural	4411532	4391715	4416715	4394417
H37Rv	L4	natural	Erdman	L4	natural	4411532	4368736	4392353	4372753
H37Rv	L4	natural	F1	L4	natural	4411532	4392364	4424435	4405655
H37Rv	L4	natural	CDC1551	L4	natural	4411532	4387228	4406808	4383792
H37Rv	L4	natural	FDAARGOS_751	L1	natural	4411532	4390514	4441988	4408997
H37Rv	L4	natural	MTBCR170001	L1	natural	4411532	4380537	4424759	4389961
H37Rv	L4	natural	MTBCR170020	L1	natural	4411532	4388978	4442985	4409290
H37Rv	L4	natural	W-148	L2	natural	4411532	4371835	4418548	4398176
H37Rv	L4	natural	TCDC10	L2	natural	4411532	4366130	4419577	4390805
H37Rv	L4	natural	TCDC11	L2	natural	4411532	4370131	4418417	4397907
H37Rv	L4	natural	TCDC7	L2	natural	4411532	4369111	4641184	4611158
H37Rv	L4	natural	BCG_Pasteur	bovis	natural	4411532	4280716	4374522	4348298
H37Rv	L4	natural	L5_Benin	L5	natural	4411532	4381686	4438262	4404093
H37Rv	L4	natural	18b_mutated_1	L2	snpmutator	4411532	4368329	4411953	4382639
H37Rv	L4	natural	18b_mutated_2	L2	snpmutator	4411532	4368329	4411953	4382780
H37Rv	L4	natural	18b_mutated_3	L2	snpmutator	4411532	4368329	4411953	4382838
H37Rv	L4	natural	18b_mutated_4	L2	snpmutator	4411532	4368329	4411953	4382838
H37Rv	L4	natural	18b_mutated_5	L2	snpmutator	4411532	4368329	4411953	4382773
H37Rv	L4	natural	18b_mutated_6	L2	snpmutator	4411532	4368329	4411953	4382838
H37Rv	L4	natural	18b_mutated_7	L2	snpmutator	4411532	4368329	4411953	4382785
H37Rv	L4	natural	18b_mutated_8	L2	snpmutator	4411532	4368329	4411953	4382850
H37Rv	L4	natural	18b_mutated_9	L2	snpmutator	4411532	4368326	4411953	4382745
H37Rv	L4	natural	18b_mutated_10	L2	snpmutator	4411532	4368329	4411953	4382838
H37Rv	L4	natural	18b_mutated_11	L2	snpmutator	4411532	4368329	4411953	4382263
H37Rv	L4	natural	18b_mutated_12	L2	snpmutator	4411532	4368327	4411953	4382838
